source_country,destination_country,corridor_volume_musd,fx_spread_bps,transfer_fee_percent,settlement_time_days,has_tax_treaty,tax_rate_percent,withholding_tax_amount_musd,compliance_regulatory_score,sovereign_geopolitical_score,volatility_index,market_infrastructure_score,tax_treaty_quality,currency_convertibility,capital_controls,payment_system_efficiency,network_depth,corridor_stability_score
Australia,United States,15518.63,77.24,1.85,3.07,0,5.79,898.5287,37.85,60.09,58.81,35.44,39.95,0.16,0.423,0.38,0.359,50.1
United Kingdom,Colombia,567.02,292.07,4.67,16.56,1,16.05,91.0067,26.89,32.45,30.64,37.88,73.65,0.267,0.937,0.163,0.379,47.02
Ireland,Egypt,6198.69,253.64,9.36,6.87,0,15.03,931.6631,56.4,63.0,29.9,47.44,80.9,0.539,0.747,0.138,0.494,51.66
Japan,China,35039.31,129.54,0.95,11.45,1,21.52,7540.4595,57.79,49.57,55.43,62.65,43.06,0.876,0.263,0.298,0.639,65.44
China,Poland,472604.91,277.12,11.04,17.97,1,27.95,132093.0723,70.54,52.35,48.51,43.93,31.7,0.128,0.475,0.212,0.539,64.93
Switzerland,Philippines,924795.05,196.71,5.37,15.53,0,6.6,61036.4733,44.9,23.84,36.08,53.14,33.44,0.485,0.539,0.473,0.407,76.26
Malaysia,Mexico,75.46,259.83,0.84,19.6,0,23.21,17.5143,43.04,48.47,52.67,31.13,46.87,0.098,0.652,0.236,0.406,35.31
United Arab Emirates,China,44.96,295.67,3.33,23.52,1,19.16,8.6143,75.27,38.51,14.52,33.01,51.85,0.477,0.919,0.069,0.068,36.58
Turkey,United Kingdom,2166.06,128.67,7.09,15.68,1,20.61,446.425,49.18,42.32,68.59,62.53,50.51,0.213,0.265,0.158,0.834,58.79
Belgium,India,4731.97,168.61,11.19,3.11,0,27.24,1288.9886,45.39,56.49,40.44,36.21,50.89,0.634,0.829,0.162,0.442,47.69
Australia,Germany,412436.01,208.85,1.96,1.08,1,6.18,25488.5454,50.04,62.7,53.4,67.54,44.71,0.406,0.621,0.811,0.881,71.91
Spain,Vietnam,41271.09,259.9,9.77,8.0,0,5.97,2463.8841,57.66,61.09,25.02,58.63,40.73,0.773,0.351,0.028,0.877,62.01
Russia,United Kingdom,0.57,133.2,8.8,9.41,0,19.41,0.1106,38.96,74.21,32.76,50.06,27.1,0.33,0.314,0.408,0.402,26.49
Vietnam,Thailand,5510.94,271.33,7.46,9.03,0,10.25,564.8713,61.44,70.47,54.38,44.86,44.34,0.664,0.619,0.807,0.147,48.79
Germany,Colombia,79.63,190.78,2.49,20.89,1,6.95,5.5343,83.22,70.5,58.87,50.72,70.23,0.121,0.133,0.755,0.443,38.9
Mexico,Ireland,132.25,51.95,10.37,13.5,0,11.93,15.7774,55.05,55.77,18.62,42.94,85.2,0.153,0.214,0.833,0.389,40.19
United States,Thailand,218.2,283.11,3.72,11.7,1,17.06,37.2249,75.58,56.4,76.84,62.35,32.73,0.981,0.534,0.429,0.867,49.27
Italy,Nigeria,152.37,104.56,10.58,8.35,1,6.17,9.4012,56.76,66.68,39.29,51.4,53.51,0.152,0.126,0.767,0.168,41.8
Australia,China,566298.5,36.89,0.5,9.36,1,18.3,103632.6255,51.82,53.23,68.33,58.04,62.14,0.428,0.371,0.106,0.961,70.92
Japan,Mexico,1.71,158.92,7.88,18.48,1,19.74,0.3376,44.81,63.23,47.08,47.03,38.92,0.325,0.488,0.88,0.556,29.05
Turkey,Vietnam,263.05,228.66,8.35,19.38,1,4.21,11.0744,38.26,61.37,42.63,58.6,48.84,0.307,0.231,0.69,0.192,47.31
Belgium,Netherlands,730422.95,250.63,3.7,10.83,1,18.26,133375.2307,64.06,63.99,46.94,55.98,7.09,0.184,0.051,0.074,0.629,68.68
Switzerland,France,906623.26,39.94,9.22,18.19,0,14.51,131551.035,63.83,48.03,53.66,39.38,45.03,0.081,0.24,0.47,0.033,65.86
Colombia,Germany,6481.78,277.55,9.5,18.75,0,18.61,1206.2593,81.48,43.03,32.71,32.82,25.72,0.7,0.943,0.432,0.322,49.93
United States,Saudi Arabia,1080.76,230.12,2.27,15.57,1,5.15,55.6591,61.36,50.75,42.25,51.86,80.76,0.945,0.814,0.97,0.404,50.82
Poland,Colombia,78.11,60.34,4.47,22.69,1,6.26,4.8897,67.45,56.76,38.87,45.5,51.41,0.093,0.992,0.498,0.717,39.5
Kenya,Turkey,157.58,47.67,2.45,17.98,0,11.91,18.7678,74.18,53.54,53.89,49.4,55.51,0.539,0.345,0.189,0.697,43.72
Vietnam,United Kingdom,16.87,144.53,10.98,11.44,0,5.93,1.0004,68.87,63.27,40.06,59.31,39.89,0.469,0.969,0.852,0.859,39.42
Ethiopia,Poland,0.18,25.18,7.65,27.63,0,15.85,0.0285,58.14,59.99,26.74,46.73,60.2,0.531,0.566,0.62,0.241,27.17
Colombia,Russia,164.81,201.72,10.81,13.96,1,5.91,9.7403,51.25,52.13,35.76,59.52,70.35,0.572,0.575,0.274,0.566,48.18
United Arab Emirates,Ethiopia,67588.42,271.37,9.35,6.9,1,8.68,5866.6749,63.21,37.73,37.63,39.92,33.14,0.131,0.91,0.876,0.366,60.62
China,Russia,250231.9,283.54,11.62,8.85,1,10.03,25098.2596,41.65,66.41,23.84,47.9,63.03,0.124,0.369,0.371,0.675,61.87
Ireland,Italy,255147.53,70.3,0.95,24.72,1,5.35,13650.3929,42.35,38.44,69.46,63.37,51.92,0.587,0.727,0.939,0.28,73.71
Argentina,Turkey,97308.63,34.31,8.29,16.33,1,11.54,11229.4159,92.24,45.31,65.33,51.56,31.11,0.205,0.83,0.774,0.789,64.82
Japan,Singapore,604.66,240.56,1.5,25.99,0,24.75,149.6533,32.08,55.25,46.33,52.44,18.33,0.504,0.945,0.458,0.964,48.47
Philippines,Mexico,6348.67,149.63,10.93,2.2,0,8.71,552.9692,50.08,53.43,44.23,59.42,48.28,0.655,0.878,0.414,0.827,58.43
Italy,Mexico,15.41,80.19,11.45,20.6,1,24.89,3.8355,37.86,60.35,34.17,53.93,31.7,0.75,0.868,0.578,0.213,37.6
Canada,Malaysia,82720.65,113.43,9.2,17.22,1,16.88,13963.2457,72.24,48.72,43.22,33.19,49.5,0.006,0.87,0.031,0.746,56.32
Spain,China,38.94,217.87,9.37,17.03,0,8.89,3.4618,36.57,46.7,32.07,42.31,86.42,0.678,0.593,0.055,0.204,38.26
Russia,Netherlands,19.81,7.28,9.01,5.27,1,7.9,1.565,57.43,46.95,36.05,62.39,44.29,0.64,0.29,0.46,0.69,44.35
Canada,Turkey,112.13,123.13,1.13,26.12,1,21.79,24.4331,47.21,62.56,15.88,55.78,49.35,0.173,0.153,0.464,0.564,43.49
Italy,Japan,119.77,143.33,7.65,23.89,0,6.85,8.2042,36.04,54.86,57.96,67.89,53.72,0.739,0.041,0.501,0.958,50.06
Spain,France,340.29,55.9,3.12,13.13,1,14.98,50.9754,60.08,53.74,40.37,47.25,49.54,0.252,0.852,0.664,0.917,45.04
Philippines,Singapore,1463.15,281.71,3.85,11.3,1,12.94,189.3316,77.59,50.49,38.96,50.33,57.71,0.486,0.227,0.771,0.835,51.14
Spain,Singapore,1516.09,50.5,2.33,20.79,0,6.09,92.3299,71.6,55.63,82.54,49.95,36.06,0.194,0.678,0.503,0.419,50.06
Singapore,Russia,0.23,146.77,4.58,28.03,0,24.08,0.0554,49.76,52.22,16.77,48.2,23.82,0.236,0.995,0.65,0.791,29.44
Kenya,Singapore,20506.34,143.39,7.46,27.18,0,25.87,5304.9902,64.11,29.12,45.05,40.87,30.57,0.905,0.597,0.429,0.615,59.27
France,Belgium,664632.29,24.97,6.41,15.22,0,16.75,111325.9086,66.11,54.66,59.37,50.72,42.15,0.044,0.546,0.695,0.632,68.17
Colombia,United Kingdom,11.33,17.92,2.55,1.26,1,22.0,2.4926,56.49,55.21,40.66,58.08,68.27,0.743,0.895,0.924,0.519,39.46
France,Mexico,1648.82,247.59,6.64,9.64,0,12.39,204.2888,49.91,66.42,57.26,38.69,48.21,0.057,0.671,0.031,0.849,43.64
Singapore,Germany,4.49,195.32,4.47,28.48,0,21.98,0.9869,72.52,52.51,42.08,49.9,40.79,0.387,0.562,0.286,0.916,34.39
Germany,Argentina,1.62,215.44,11.97,24.32,1,15.12,0.2449,44.21,46.2,61.73,51.75,37.8,0.237,0.494,0.13,0.884,34.25
Kenya,Belgium,75.09,125.78,6.98,3.76,1,11.05,8.2974,67.08,63.95,36.01,63.1,50.86,0.153,0.165,0.895,0.846,44.99
Ireland,Saudi Arabia,0.75,94.33,6.5,15.08,0,19.52,0.1464,60.93,50.19,64.59,45.82,54.74,0.211,0.572,0.642,0.302,29.91
Philippines,Switzerland,149.56,208.14,2.07,12.47,1,18.15,27.1451,62.95,60.93,33.85,46.43,36.84,0.248,0.097,0.865,0.16,40.9
Italy,South Africa,21970.99,151.99,6.27,14.96,1,5.44,1195.2219,42.74,51.56,32.67,33.32,38.37,0.107,0.134,0.051,0.562,51.96
Thailand,Portugal,142.06,167.21,9.94,18.7,0,7.42,10.5409,67.53,36.77,46.97,58.28,52.21,0.519,0.149,0.393,0.617,50.33
Portugal,Poland,268.49,171.06,5.8,0.5,1,19.62,52.6777,73.17,62.84,64.63,54.54,57.6,0.584,0.171,0.681,0.032,45.45
United States,Argentina,15.7,49.67,8.35,12.31,1,13.22,2.0755,22.23,44.62,51.62,49.93,68.93,0.772,0.721,0.247,0.558,39.2
Switzerland,Netherlands,8596.2,208.62,5.97,14.39,1,16.54,1421.8115,65.0,48.8,51.32,53.95,19.33,0.747,0.214,0.109,0.741,58.05
Belgium,Egypt,2921.54,20.48,5.08,21.52,0,8.44,246.578,73.01,70.78,21.3,53.93,81.72,0.769,0.652,0.921,0.418,50.52
United Kingdom,Philippines,32788.72,59.96,9.04,26.17,1,2.93,960.7095,59.75,67.48,49.47,49.35,60.43,0.113,0.162,0.791,0.568,56.35
Philippines,Mexico,404.54,30.59,8.1,5.54,0,28.4,114.8894,35.11,45.39,38.19,73.77,59.61,0.465,0.16,0.69,0.639,57.82
Egypt,Singapore,222.47,139.22,11.87,11.21,1,15.53,34.5496,78.03,59.43,56.77,63.69,71.59,0.903,0.202,0.68,0.717,49.25
Argentina,United Arab Emirates,149.29,156.41,5.59,1.73,1,8.45,12.615,18.38,44.61,58.46,52.62,67.0,0.472,0.287,0.964,0.374,46.64
Thailand,France,6013.29,200.23,6.56,19.61,1,28.03,1685.5252,54.97,76.45,33.43,55.53,64.84,0.461,0.155,0.66,0.615,52.12
Turkey,Nigeria,0.3,180.21,5.47,20.16,0,6.11,0.0183,61.99,63.55,59.37,65.13,52.23,0.818,0.237,0.275,0.557,34.1
Brazil,Mexico,777.96,18.83,4.26,19.3,1,7.85,61.0699,38.26,64.14,72.51,55.09,53.57,0.968,0.557,0.922,0.847,48.48
South Africa,United Arab Emirates,7.57,203.73,7.31,26.21,0,19.69,1.4905,42.92,53.8,69.94,45.37,58.57,0.914,0.696,0.283,0.466,33.61
Indonesia,Portugal,151245.92,142.47,9.67,21.67,1,7.78,11766.9326,45.93,51.25,26.81,67.01,52.29,0.833,0.499,0.967,0.642,71.09
Malaysia,China,0.95,166.23,2.37,26.68,0,25.98,0.2468,38.23,26.02,24.7,40.65,59.26,0.638,0.934,0.411,0.017,32.99
Netherlands,United States,327.73,210.87,5.28,28.19,0,7.41,24.2848,36.02,49.4,58.14,51.66,5.85,0.684,0.848,0.379,0.553,47.56
China,France,315.51,133.0,9.46,16.98,0,27.98,88.2797,64.7,58.45,45.22,63.2,67.36,0.85,0.016,0.929,0.299,50.26
Thailand,Poland,20.99,227.9,1.85,29.65,0,29.36,6.1627,49.88,67.02,37.13,56.91,67.04,0.491,0.356,0.086,0.619,38.31
France,Saudi Arabia,1.2,214.94,7.68,22.19,1,5.98,0.0718,74.47,39.53,21.89,52.07,53.18,0.597,0.784,0.725,0.56,35.2
Belgium,China,6269.2,55.0,3.37,8.05,0,15.87,994.922,39.47,43.62,39.56,60.37,17.23,0.332,0.62,0.86,0.974,60.74
South Africa,Kenya,15.82,289.55,11.63,8.74,1,12.64,1.9996,51.76,58.13,46.32,71.84,47.07,0.943,0.21,0.795,0.673,45.28
Russia,Japan,10154.41,237.78,1.07,29.72,1,13.04,1324.1351,76.34,65.66,41.2,65.81,49.41,0.665,0.166,0.967,0.332,59.9
