feature,mean_abs_shap
tax_rate_percent,0.6878153
transfer_fee_percent,0.48035264
tax_cost_pct,0.22223052
fx_spread_bps,0.15857242
fee_cost_pct,0.09304166
fx_cost_pct,0.04537884
settlement_time_days,0.012407627
treaty_friction,0.009337633
risk_composite,0.003498634
volatility_index,0.0028475793
withholding_tax_amount_musd,0.0027009952
compliance_regulatory_score,0.0021490667
sovereign_geopolitical_score,0.0020900902
settlement_friction,0.0020152824
capital_controls,0.0019452155
currency_convertibility,0.0019429687
payment_system_efficiency,0.0017562977
market_infrastructure_score,0.0014578163
network_depth,0.0014191964
corridor_volume_musd,0.0013275079
corridor_stability_score,0.0008723545
stability_risk,0.0008698334
infra_risk,0.00034832978
