feature,mean_abs_shap
total_cost_pct,0.8323458
tax_rate_percent,0.1583629
transfer_fee_percent,0.15249048
fx_spread_bps,0.08947659
fee_cost_pct,0.025711322
fx_cost_pct,0.021689212
settlement_time_days,0.012781434
tax_cost_pct,0.004116653
risk_composite,0.00363216
settlement_friction,0.003273695
compliance_regulatory_score,0.001805551
volatility_index,0.0017548037
market_infrastructure_score,0.0013366874
sovereign_geopolitical_score,0.0012734808
network_depth,0.0011827223
payment_system_efficiency,0.0011694031
corridor_volume_musd,0.0011049696
corridor_stability_score,0.0007833078
capital_controls,0.0007776821
currency_convertibility,0.0007441175
infra_risk,0.0005371792
withholding_tax_amount_musd,0.0005087355
stability_risk,0.00037016848
treaty_friction,0.00018336349
